基金代码,基金名称,基金类型,净值日期,均线信号,RSI,RSI信号,MACD,cci值,cci信号,macd值,macd信号,布林带下轨值,布林带中轨值,布林带上轨值,布林带信号,报告日期
000001,华夏成长混合,混合型-灵活,2025-12-22,持有,58.68,持有,0.0003,116.81,持有,0.0003,持有,1.0122,1.0405000000000002,1.0688,持有,2026-01-01
000001,华夏成长混合,混合型-灵活,2025-12-23,买入,63.12,持有,0.0018,121.37,持有,0.0018,持有,1.0152,1.0429,1.0706,持有,2026-01-01
000001,华夏成长混合,混合型-灵活,2025-12-24,持有,62.89,持有,0.0039,161.08,持有,0.0039,持有,1.015,1.0453499999999998,1.0757,提示风险,2026-01-01
000001,华夏成长混合,混合型-灵活,2025-12-25,持有,63.12,持有,0.0061,174.33,持有,0.0061,持有,1.0156,1.04845,1.0813,提示风险,2026-01-01
000001,华夏成长混合,混合型-灵活,2025-12-26,持有,57.05,持有,0.0074,131.7,持有,0.0074,持有,1.0164,1.05085,1.0853,卖出,2026-01-01
000001,华夏成长混合,混合型-灵活,2025-12-29,持有,57.05,持有,0.0084,119.13,持有,0.0084,持有,1.0162,1.05275,1.0893,持有,2026-01-01
000001,华夏成长混合,混合型-灵活,2025-12-30,持有,59.75,持有,0.0099,145.07,持有,0.0099,持有,1.0169,1.05565,1.0944,持有,2026-01-01
000001,华夏成长混合,混合型-灵活,2025-12-31,持有,61.69,持有,0.0104,108.51,持有,0.0104,持有,1.0215,1.0587,1.0959,持有,2026-01-01
110022,易方达消费行业股票,股票型,2025-12-22,持有,35.16,持有,-0.0189,-65.28,持有,-0.0189,持有,3.4682,3.5362,3.6042,持有,2026-01-01
110022,易方达消费行业股票,股票型,2025-12-23,卖出,34.62,持有,-0.0202,-101.08,持有,-0.0202,持有,3.4618,3.533,3.6042,持有,2026-01-01
110022,易方达消费行业股票,股票型,2025-12-24,持有,35.16,持有,-0.0225,-132.99,持有,-0.0225,持有,3.4528,3.52785,3.6029,持有,2026-01-01
110022,易方达消费行业股票,股票型,2025-12-25,持有,37.12,持有,-0.0222,-79.4,买入,-0.0222,持有,3.4496,3.5238,3.598,持有,2026-01-01
110022,易方达消费行业股票,股票型,2025-12-26,持有,42.06,持有,-0.022,-83.81,持有,-0.022,持有,3.4492,3.5187000000000004,3.5882,持有,2026-01-01
110022,易方达消费行业股票,股票型,2025-12-29,持有,43.17,持有,-0.0241,-161.26,持有,-0.0241,持有,3.4472,3.51145,3.5757,持有,2026-01-01
